,NMFS.Tracking.Number,count
715,SWR-2009-4710,2
716,SWR-2009-4742,2
717,SWR-2009-4744,2
718,SWR-2009-4746,2
719,SWR-2009-4805,2
720,SWR-2009-4901,2
721,SWR-2009-4903,2
722,SWR-2009-4926,2
723,SWR-2009-4931,2
724,SWR-2009-4933,2
725,SWR-2009-4961,2
726,SWR-2009-5079,2
727,SWR-2009-5085,2
728,SWR-2009-5208,2
729,SWR-2009-5308,2
730,SWR-2009-5311,2
731,SWR-2009-5472,2
732,SWR-2009-5481,2
733,SWR-2009-555,2
734,SWR-2009-556,2
735,SWR-2009-5581,2
736,SWR-2009-5582,2
737,SWR-2009-5671,2
738,SWR-2009-5776,2
739,SWR-2009-5808,2
740,SWR-2009-5810,2
741,SWR-2009-5812,2
742,SWR-2009-5816,2
743,SWR-2009-583,2
744,SWR-2009-6002,2
745,SWR-2009-6170,2
746,SWR-2009-6171,2
747,SWR-2009-6172,2
748,SWR-2009-6268,2
749,SWR-2009-6269,2
750,SWR-2009-6358,2
751,SWR-2009-639,2
752,SWR-2009-6533,2
753,SWR-2009-6534,2
754,SWR-2009-6536,2
755,SWR-2009-6605,2
756,SWR-2009-6832,2
757,SWR-2009-6923,2
758,SWR-2009-6951,2
759,SWR-2009-7172,2
760,SWR-2009-7191,2
761,SWR-2009-725,2
762,SWR-2009-7510,2
763,SWR-2009-7531,2
764,SWR-2009-7581,2
765,SWR-2009-7622,2
766,SWR-2009-834,2
767,SWR-2009-868,2
768,SWR-2009-89,2
769,SWR-2009-91,2
770,SWR-2010-1054,2
771,SWR-2010-1055,2
772,SWR-2010-1057,2
773,SWR-2010-1059,2
774,SWR-2010-1119,2
775,SWR-2010-133,2
776,SWR-2010-1405,2
777,SWR-2010-1501,2
778,SWR-2010-1567,2
779,SWR-2010-1584,2
780,SWR-2010-1585,2
781,SWR-2010-1611,2
782,SWR-2010-1620,2
783,SWR-2010-166,2
784,SWR-2010-1811,2
785,SWR-2010-1834,2
786,SWR-2010-1851,2
787,SWR-2010-1857,2
788,SWR-2010-1901,2
789,SWR-2010-1902,2
790,SWR-2010-1904,2
791,SWR-2010-1905,2
792,SWR-2010-1921,2
793,SWR-2010-1922,2
794,SWR-2010-1949,2
795,SWR-2010-1967,2
796,SWR-2010-1968,2
797,SWR-2010-1969,2
798,SWR-2010-2033,2
799,SWR-2010-2034,2
800,SWR-2010-2085,2
801,SWR-2010-2086,2
802,SWR-2010-2087,2
803,SWR-2010-2088,2
804,SWR-2010-2146,2
805,SWR-2010-2180,2
806,SWR-2010-2342,2
807,SWR-2010-2382,2
808,SWR-2010-2454,2
809,SWR-2010-2518,2
810,SWR-2010-2519,2
811,SWR-2010-2569,2
812,SWR-2010-2723,2
813,SWR-2010-3047,2
814,SWR-2010-3285,2
815,SWR-2010-3292,2
816,SWR-2010-333,2
817,SWR-2010-3418,2
818,SWR-2010-3420,2
819,SWR-2010-3421,2
820,SWR-2010-3450,2
821,SWR-2010-3468,2
822,SWR-2010-3738,2
823,SWR-2010-3746,2
824,SWR-2010-3748,2
825,SWR-2010-3750,2
826,SWR-2010-378,2
827,SWR-2010-4013,2
828,SWR-2010-4015,2
829,SWR-2010-4016,2
830,SWR-2010-4049,2
831,SWR-2010-4050,2
832,SWR-2010-4145,2
833,SWR-2010-4146,2
834,SWR-2010-4373,2
835,SWR-2010-4392,2
836,SWR-2010-4394,2
837,SWR-2010-4396,2
838,SWR-2010-4397,2
839,SWR-2010-4398,2
840,SWR-2010-4499,2
841,SWR-2010-4634,2
842,SWR-2010-4824,2
843,SWR-2010-4825,2
844,SWR-2010-4827,2
845,SWR-2010-4842,2
846,SWR-2010-4843,2
847,SWR-2010-4848,2
848,SWR-2010-4853,2
849,SWR-2010-5133,2
850,SWR-2010-5156,2
851,SWR-2010-5171,2
852,SWR-2010-5226,2
853,SWR-2010-5227,2
854,SWR-2010-5228,2
855,SWR-2010-5432,2
856,SWR-2010-5433,2
857,SWR-2010-559,2
858,SWR-2010-560,2
859,SWR-2010-5717,2
860,SWR-2010-5718,2
861,SWR-2010-5872,2
862,SWR-2010-5877,2
863,SWR-2010-5878,2
864,SWR-2010-6054,2
865,SWR-2010-6056,2
866,SWR-2010-6057,2
867,SWR-2010-6084,2
868,SWR-2010-6085,2
869,SWR-2010-6105,2
870,SWR-2010-6140,2
871,SWR-2010-6205,2
872,SWR-2010-628,2
873,SWR-2010-6304,2
874,SWR-2010-6447,2
875,SWR-2010-646,2
876,SWR-2010-6485,2
877,SWR-2010-6495,2
878,SWR-2010-6496,2
879,SWR-2010-6518,2
880,SWR-2010-6567,2
881,SWR-2010-6675,2
882,SWR-2010-6691,2
883,SWR-2010-6703,2
884,SWR-2010-6740,2
885,SWR-2010-6823,2
886,SWR-2010-795,2
887,SWR-2010-819,2
888,SWR-2010-925,2
889,SWR-2010-981,2
890,SWR-2010-996,2
891,SWR-2010-997,2
892,SWR-2011-1040,2
893,SWR-2011-1135,2
894,SWR-2011-1137,2
895,SWR-2011-1236,2
896,SWR-2011-1237,2
897,SWR-2011-1238,2
898,SWR-2011-126,2
899,SWR-2011-1268,2
900,SWR-2011-1494,2
901,SWR-2011-1505,2
902,SWR-2011-1511,2
903,SWR-2011-1603,2
904,SWR-2011-1635,2
905,SWR-2011-1712,2
906,SWR-2011-1731,2
907,SWR-2011-1887,2
908,SWR-2011-1896,2
909,SWR-2011-1905,2
910,SWR-2011-1946,2
911,SWR-2011-2140,2
912,SWR-2011-2156,2
913,SWR-2011-2169,2
914,SWR-2011-2184,2
915,SWR-2011-222,2
916,SWR-2011-2225,2
917,SWR-2011-224,2
918,SWR-2011-2240,2
919,SWR-2011-2249,2
920,SWR-2011-2250,2
921,SWR-2011-2302,2
922,SWR-2011-2334,2
923,SWR-2011-2374,2
924,SWR-2011-2408,2
925,SWR-2011-2450,2
926,SWR-2011-2504,2
927,SWR-2011-2505,2
928,SWR-2011-2516,2
929,SWR-2011-2526,2
930,SWR-2011-2549,2
931,SWR-2011-2648,2
932,SWR-2011-2736,2
933,SWR-2011-2754,2
934,SWR-2011-2828,2
935,SWR-2011-2962,2
936,SWR-2011-2972,2
937,SWR-2011-2982,2
938,SWR-2011-3009,2
939,SWR-2011-3018,2
940,SWR-2011-3019,2
941,SWR-2011-3021,2
942,SWR-2011-3071,2
943,SWR-2011-3198,2
944,SWR-2011-3199,2
945,SWR-2011-3200,2
946,SWR-2011-3260,2
947,SWR-2011-3271,2
948,SWR-2011-3274,2
949,SWR-2011-337,2
950,SWR-2011-3464,2
951,SWR-2011-3465,2
952,SWR-2011-3498,2
953,SWR-2011-3503,2
954,SWR-2011-353,2
955,SWR-2011-3537,2
956,SWR-2011-3538,2
957,SWR-2011-3595,2
958,SWR-2011-3606,2
959,SWR-2011-3625,2
960,SWR-2011-3780,2
961,SWR-2011-382,2
962,SWR-2011-383,2
963,SWR-2011-3876,2
964,SWR-2011-3883,2
965,SWR-2011-3886,2
966,SWR-2011-3986,2
967,SWR-2011-4002,2
968,SWR-2011-4022,2
969,SWR-2011-4027,2
970,SWR-2011-4038,2
971,SWR-2011-4109,2
972,SWR-2011-4293,2
973,SWR-2011-4295,2
974,SWR-2011-4468,2
975,SWR-2011-4697,2
976,SWR-2011-4710,2
977,SWR-2011-4711,2
978,SWR-2011-4715,2
979,SWR-2011-4812,2
980,SWR-2011-4923,2
981,SWR-2011-4972,2
982,SWR-2011-5001,2
983,SWR-2011-5012,2
984,SWR-2011-5013,2
985,SWR-2011-5093,2
986,SWR-2011-5182,2
987,SWR-2011-519,2
988,SWR-2011-521,2
989,SWR-2011-5236,2
990,SWR-2011-5237,2
991,SWR-2011-5392,2
992,SWR-2011-5429,2
993,SWR-2011-5482,2
994,SWR-2011-5693,2
995,SWR-2011-571,2
996,SWR-2011-5790,2
997,SWR-2011-5794,2
998,SWR-2011-5814,2
999,SWR-2011-5835,2
1000,SWR-2011-5892,2
1001,SWR-2011-5984,2
1002,SWR-2011-6015,2
1003,SWR-2011-6138,2
1004,SWR-2011-6291,2
1005,SWR-2011-647,2
